epoch,loss,val_loss
0,2.8802125453948975,2.8767716884613037
1,2.8733513355255127,2.869875431060791
2,2.8664627075195312,2.862995147705078
3,2.8595902919769287,2.8561320304870605
4,2.8527352809906006,2.849285125732422
5,2.8458964824676514,2.842454195022583
6,2.83907413482666,2.8356399536132812
7,2.8322677612304688,2.8288421630859375
8,2.8254778385162354,2.8220603466033936
9,2.818704128265381,2.8152949810028076
10,2.8119468688964844,2.8085455894470215
11,2.805206060409546,2.8018128871917725
12,2.7984812259674072,2.795095920562744
13,2.7917723655700684,2.788395404815674
14,2.7850797176361084,2.781710624694824
15,2.778402805328369,2.7750418186187744
16,2.771742105484009,2.7683892250061035
17,2.7650973796844482,2.7617526054382324
18,2.7584686279296875,2.755131721496582
19,2.7518556118011475,2.7485270500183105
20,2.745258331298828,2.7419376373291016
21,2.7386770248413086,2.7353646755218506
22,2.7321112155914307,2.728806972503662
23,2.72556209564209,2.7222650051116943
24,2.7190279960632324,2.7157390117645264
25,2.7125096321105957,2.709228754043579
26,2.7060067653656006,2.7027335166931152
27,2.699519634246826,2.696254253387451
28,2.6930480003356934,2.6897904872894287
29,2.686591863632202,2.683342218399048
30,2.6801517009735107,2.6769092082977295
31,2.67372465133667,2.670491933822632
32,2.6673166751861572,2.6640899181365967
33,2.660921812057495,2.657703161239624
34,2.654543161392212,2.651331901550293
35,2.648179292678833,2.6449759006500244
36,2.6418304443359375,2.6386349201202393
37,2.6354970932006836,2.6323094367980957
38,2.6291792392730713,2.6259989738464355
39,2.622875690460205,2.619703531265259
40,2.6165881156921387,2.6134231090545654
41,2.6103155612945557,2.6071581840515137
42,2.604057550430298,2.600907802581787
43,2.5978152751922607,2.594672441482544
44,2.5915873050689697,2.5884523391723633
45,2.585374355316162,2.582246780395508
46,2.579176425933838,2.576056718826294
47,2.572993278503418,2.569880962371826
48,2.5668251514434814,2.5637199878692627
49,2.560671091079712,2.5575737953186035
50,2.554532289505005,2.551442861557007
51,2.5484089851379395,2.5453262329101562
52,2.5422987937927246,2.539224147796631
0,2.8518247604370117,2.817854166030884
1,2.784555673599243,2.7509679794311523
2,2.7184600830078125,2.6856696605682373
3,2.65393328666687,2.6219208240509033
4,2.5909383296966553,2.559685468673706
5,2.529437303543091,2.498927116394043
6,2.4693970680236816,2.4396111965179443
7,2.4107820987701416,2.3817031383514404
8,2.3535585403442383,2.325169563293457
9,2.2976925373077393,2.2699780464172363
10,2.2431535720825195,2.2160966396331787
11,2.1899096965789795,2.1634938716888428
12,2.1379287242889404,2.1121397018432617
13,2.0871810913085938,2.062005043029785
14,2.0376384258270264,2.0130598545074463
15,1.9892717599868774,1.965276837348938
16,1.9420530796051025,1.9186278581619263
17,1.8959554433822632,1.8730862140655518
18,1.8509520292282104,1.8286255598068237
19,1.8070170879364014,1.7852201461791992
20,1.7641240358352661,1.7428451776504517
21,1.7222501039505005,1.701475977897644
22,1.681369662284851,1.6610887050628662
23,1.6414597034454346,1.6216602325439453
24,1.6024971008300781,1.583167552947998
25,1.5644590854644775,1.545588493347168
26,1.5273244380950928,1.5089014768600464
27,1.4910709857940674,1.4730852842330933
28,1.455678105354309,1.4381192922592163
29,1.4211255311965942,1.403983235359192
30,1.3873920440673828,1.3706575632095337
31,1.354460597038269,1.3381227254867554
32,1.322310209274292,1.3063602447509766
33,1.290922999382019,1.275351881980896
34,1.2602812051773071,1.2450792789459229
35,1.2303659915924072,1.215525507926941
36,1.2011617422103882,1.1866729259490967
37,1.17264986038208,1.1585053205490112
38,1.1448156833648682,1.1310063600540161
39,1.1176413297653198,1.1041600704193115
40,1.0911123752593994,1.077951192855835
41,1.0652129650115967,1.0523643493652344
42,1.0399283170700073,1.027384638786316
43,1.0152441263198853,1.0029981136322021
44,0.9911457896232605,0.9791903495788574
45,0.9676193594932556,0.955947756767273
46,0.9446512460708618,0.9332567453384399
47,0.9222285151481628,0.9111045002937317
48,0.9003379344940186,0.8894779682159424
49,0.8789669275283813,0.8683648109436035
50,0.8581034541130066,0.8477527499198914
51,0.8377348780632019,0.8276300430297852
52,0.81784987449646,0.8079848289489746
53,0.7984370589256287,0.7888060808181763
54,0.7794848084449768,0.7700824737548828
55,0.7609825134277344,0.7518033981323242
56,0.742919385433197,0.7339581251144409
57,0.7252849340438843,0.7165364027023315
58,0.7080692648887634,0.6995282769203186
59,0.6912618279457092,0.6829239726066589
60,0.6748539805412292,0.6667135953903198
61,0.6588351130485535,0.6508881449699402
62,0.6431966423988342,0.6354383230209351
63,0.6279292702674866,0.6203551888465881
64,0.6130245923995972,0.6056300401687622
65,0.598473310470581,0.5912544131278992
66,0.5842676758766174,0.57722008228302
67,0.5703991651535034,0.5635188221931458
68,0.5568597316741943,0.550142765045166
69,0.5436419248580933,0.5370843410491943
70,0.5307376980781555,0.5243358016014099
71,0.518139660358429,0.5118898153305054
72,0.5058410167694092,0.49973931908607483
73,0.493833988904953,0.48787721991539
74,0.48211196064949036,0.47629669308662415
75,0.47066834568977356,0.4649910032749176
76,0.4594961106777191,0.45395374298095703
77,0.44858935475349426,0.4431783854961395
78,0.43794137239456177,0.432658851146698
79,0.4275462329387665,0.4223889708518982
