image_name,xmin,ymin,xmax,ymax,class_id
20160927110318-550_color-%5BROI-1%5D-12.jpg,990.7949790794978,627.8980719237435,1109.958158995816,741.6242417677643,1
20160927110318-550_color-%5BROI-1%5D-12.jpg,1600,622.5462521663778,1720.5020920502093,737.61037694974,1
20160927110318-550_color-%5BROI-1%5D-12.jpg,1296.0669456066944,490.0887131715771,1404.5188284518827,585.0835138648181,1
20160927110318-550_color-%5BROI-1%5D-12.jpg,954.6443514644351,488.75075823223574,1055.062761506276,581.0696490467938,1
20160927103652-550_color-%5BROI-1%5D-74.jpg,633.3054393305439,597.9577775387263,789.9581589958159,750.6118222891566,1
20160927103652-550_color-%5BROI-1%5D-74.jpg,812.7196652719665,600.6359186746988,965.3556485355648,750.6118222891566,1
20160927103652-550_color-%5BROI-1%5D-74.jpg,1566.5271966527196,599.2968481067126,1720.502092050209,751.9508928571429,1
20160927103652-550_color-%5BROI-1%5D-7.jpg,977.4058577405857,624.739188898451,1097.9079497907949,746.594610585198,1
20160927103652-550_color-%5BROI-1%5D-7.jpg,1598.6610878661088,619.382906626506,1727.1966527196653,743.9164694492255,1
20160927103652-550_color-%5BROI-1%5D-8.jpg,673.4728033472803,592.6014952667814,828.7866108786611,745.2555400172117,1
20160927103652-550_color-%5BROI-1%5D-8.jpg,848.8702928870292,592.6014952667814,1005.5230125523012,747.9336811531841,1
20160927103652-550_color-%5BROI-1%5D-8.jpg,1541.0878661087866,593.9405658347677,1703.0962343096235,747.9336811531841,1
20160927103652-550_color-%5BROI-1%5D-9.jpg,657.4058577405857,595.2796364027539,810.041841004184,749.2727517211704,1
20160927103652-550_color-%5BROI-1%5D-9.jpg,1558.4937238493724,591.2624246987953,1716.4853556485355,749.2727517211705,1
20160927110318-550_color-%5BROI-1%5D-2.jpg,764.5188284518828,597.1251083188909,917.1548117154811,746.97606152513,1
20160927110318-550_color-%5BROI-1%5D-2.jpg,1581.255230125523,597.1251083188909,1740.5857740585775,745.6381065857886,1
20160927110318-550_color-%5BROI-1%5D-19.jpg,673.4728033472803,591.7732885615252,826.1087866108786,746.97606152513,1
20160927110318-550_color-%5BROI-1%5D-19.jpg,870.2928870292886,594.449198440208,1021.5899581589957,744.3001516464471,1
20160927110318-550_color-%5BROI-1%5D-19.jpg,1553.1380753138073,598.4630632582323,1708.451882845188,741.6242417677644,1
20160927110318-550_color-%5BROI-1%5D-14.jpg,710.9623430962342,602.4769280762565,866.2761506276149,746.97606152513,1
20160927110318-550_color-%5BROI-1%5D-14.jpg,1463.430962343096,598.4630632582323,1620.083682008368,750.9899263431544,1
20160927110318-550_color-%5BROI-1%5D-20.jpg,1159.4979079497907,627.8980719237435,1281.3389121338912,745.6381065857886,1
20160927110318-550_color-%5BROI-1%5D-20.jpg,1605.3556485355648,629.2360268630849,1724.5188284518829,741.6242417677643,1
20160927110318-550_color-%5BROI-1%5D-15.jpg,872.9707112970711,598.4630632582323,1028.2845188284518,750.9899263431544,1
20160927110318-550_color-%5BROI-1%5D-15.jpg,1571.8828451882844,597.1251083188909,1729.8744769874475,749.6519714038129,1
20160927110318-550_color-%5BROI-1%5D-21.jpg,694.8953974895397,590.4353336221837,848.8702928870293,742.9621967071057,1
20160927110318-550_color-%5BROI-1%5D-21.jpg,871.6317991631798,593.1112435008665,1029.623430962343,746.9760615251299,1
20160927110318-550_color-%5BROI-1%5D-21.jpg,1606.694560669456,597.1251083188909,1764.686192468619,748.3140164644715,1
20160927110318-550_color-%5BROI-1%5D-22.jpg,366.8619246861924,605.1528379549394,514.1422594142259,746.97606152513,1
20160927110318-550_color-%5BROI-1%5D-22.jpg,540.9205020920501,599.8010181975736,698.9121338912133,749.6519714038128,1
20160927110318-550_color-%5BROI-1%5D-22.jpg,1231.7991631799164,599.8010181975736,1383.0962343096235,746.9760615251299,1
20160927110318-550_color-%5BROI-1%5D-22.jpg,1567.8661087866108,597.1251083188909,1723.1799163179915,748.3140164644715,1
20160927110318-550_color-%5BROI-1%5D-26.jpg,783.2635983263598,594.449198440208,935.8995815899581,746.97606152513,1
20160927110318-550_color-%5BROI-1%5D-26.jpg,1579.9163179916318,599.8010181975736,1727.1966527196653,748.3140164644714,1
20160927110318-550_color-%5BROI-1%5D-28.jpg,635.9832635983263,597.1251083188909,791.2970711297071,745.6381065857886,1
20160927110318-550_color-%5BROI-1%5D-28.jpg,810.0418410041841,597.1251083188909,961.3389121338912,746.97606152513,1
20160927110318-550_color-%5BROI-1%5D-28.jpg,1196.9874476987447,593.1112435008665,1349.623430962343,746.9760615251299,1
20160927110318-550_color-%5BROI-1%5D-28.jpg,1558.4937238493724,599.8010181975736,1712.4686192468619,748.3140164644714,1
20160927110318-550_color-%5BROI-1%5D-27.jpg,1047.0292887029289,627.8980719237435,1160.836820083682,742.9621967071057,1
20160927110318-550_color-%5BROI-1%5D-27.jpg,1602.6778242677824,630.5739818024264,1717.8242677824267,740.2862868284229,1
20160927110318-550_color-%5BROI-1%5D-32.jpg,380.2510460251046,574.3798743500867,534.2259414225941,732.2585571923744,1
20160927110318-550_color-%5BROI-1%5D-32.jpg,565.020920502092,595.7871533795494,718.9958158995817,749.6519714038128,1
20160927110318-550_color-%5BROI-1%5D-32.jpg,1242.510460251046,586.4214688041594,1403.1799163179917,742.9621967071057,1
20160927110318-550_color-%5BROI-1%5D-32.jpg,1555.81589958159,599.8010181975736,1711.1297071129707,749.6519714038128,1
20160927110318-550_color-%5BROI-1%5D-35.jpg,827.4476987447698,593.1112435008665,982.7615062761506,749.6519714038128,1
20160927110318-550_color-%5BROI-1%5D-35.jpg,1573.2217573221756,599.8010181975736,1728.5355648535563,742.9621967071057,1
20160927110318-550_color-%5BROI-1%5D-29.jpg,546.276150627615,594.449198440208,697.5732217573221,742.9621967071057,1
20160927110318-550_color-%5BROI-1%5D-29.jpg,721.6736401673639,595.7871533795494,868.9539748953974,742.9621967071057,1
20160927110318-550_color-%5BROI-1%5D-29.jpg,1466.1087866108785,599.8010181975736,1609.3723849372384,742.9621967071057,1
20160927110318-550_color-%5BROI-1%5D-33.jpg,583.765690376569,578.393739168111,743.0962343096234,737.6103769497402,1
20160927110318-550_color-%5BROI-1%5D-33.jpg,777.907949790795,599.8010181975736,933.2217573221758,752.3278812824956,1
20160927110318-550_color-%5BROI-1%5D-33.jpg,1554.4769874476988,593.1112435008665,1711.1297071129707,746.9760615251299,1
20160927110318-550_color-%5BROI-1%5D-30.jpg,1088.5355648535565,630.5739818024264,1209.0376569037658,745.6381065857886,1
20160927110318-550_color-%5BROI-1%5D-30.jpg,1661.5899581589958,629.2360268630849,1784.7698744769875,741.6242417677643,1
20160927110318-550_color-%5BROI-1%5D-37.jpg,461.9246861924686,601.1389731369151,613.2217573221757,748.3140164644714,1
20160927110318-550_color-%5BROI-1%5D-37.jpg,1143.430962343096,597.1251083188909,1293.389121338912,745.6381065857886,1
20160927110318-550_color-%5BROI-1%5D-38.jpg,174.05857740585773,582.4076039861352,340.0836820083682,748.3140164644715,1
20160927110318-550_color-%5BROI-1%5D-38.jpg,353.4728033472803,581.0696490467938,514.1422594142259,749.6519714038128,1
20160927110318-550_color-%5BROI-1%5D-38.jpg,530.2092050209205,567.6900996533795,696.234309623431,738.9483318890815,1
20160927110318-550_color-%5BROI-1%5D-38.jpg,897.071129707113,577.0557842287695,1067.112970711297,750.9899263431543,1
20160927110318-550_color-%5BROI-1%5D-38.jpg,1538.4100418410042,579.7316941074523,1709.7907949790795,745.6381065857886,1
20160927110318-550_color-%5BROI-1%5D-4.jpg,164.68619246861925,601.1389731369151,321.3389121338912,755.0037911611785,1
20160927110318-550_color-%5BROI-1%5D-4.jpg,344.1004184100418,601.1389731369151,499.41422594142256,752.3278812824957,1
20160927110318-550_color-%5BROI-1%5D-4.jpg,527.531380753138,603.814883015598,688.2008368200836,752.3278812824957,1
20160927110318-550_color-%5BROI-1%5D-4.jpg,1018.9121338912133,598.4630632582323,1183.5983263598325,752.3278812824957,1
20160927110318-550_color-%5BROI-1%5D-4.jpg,1534.3933054393306,591.7732885615252,1696.4016736401672,750.9899263431544,1
20160927110318-550_color-%5BROI-1%5D-49.jpg,461.9246861924686,583.7455589254766,614.5606694560669,741.6242417677644,1
20160927110318-550_color-%5BROI-1%5D-49.jpg,661.4225941422594,602.4769280762565,810.0418410041841,753.6658362218371,1
